lng,lat,name
10.4539797 , 48.5755531 ,"Burger King"
6.2594899 , 50.5787097 ,"Burger King"
8.6641698 , 50.1065211 ,"Burger King"
7.1739599 , 49.3488517 ,"Burger King"
9.2462798 , 50.7379024 ,"Burger King"
9.2269898 , 49.1323414 ,"Burger King"
10.1007398 , 48.4163469 ,"Burger King"
7.4105699 , 49.5377733 ,"Burger King"
8.7847897 , 50.1053657 ,"Burger King"
8.7724198 , 50.0850153 ,"Burger King"
6.3026299 , 51.0700146 ,"Burger King"
8.8521698 , 48.2579300 ,"Burger King"
12.9045797 , 47.7642688 ,"Burger King"
11.6130097 , 48.1102556 ,"Burger King"
11.5027897 , 48.1129582 ,"Burger King"
11.5644898 , 48.1377620 ,"Burger King"
11.5600598 , 48.1402311 ,"Burger King"
11.6457497 , 48.1397079 ,"Burger King"
10.8709298 , 48.3471398 ,"Burger King"
12.1502197 , 48.5550290 ,"Burger King"
11.4595697 , 48.7748782 ,"Burger King"
11.0342098 , 49.4104689 ,"Burger King"
11.0065698 , 49.4443990 ,"Burger King"
11.0804498 , 49.4483790 ,"Burger King"
11.0575698 , 49.4838990 ,"Burger King"
12.4959198 , 50.7177088 ,"Burger King"
11.0339498 , 50.9759290 ,"Burger King"
12.5364397 , 48.2365945 ,"Burger King"
10.6348097 , 49.7458490 ,"Burger King"
11.3890698 , 50.9353388 ,"Burger King"
11.3272097 , 49.5675289 ,"Burger King"
12.8625396 , 50.8607090 ,"Burger King"
13.4234097 , 48.5600416 ,"Burger King"
12.9606797 , 48.8529209 ,"Burger King"
10.9219098 , 49.8872190 ,"Burger King"
12.1483297 , 48.9999673 ,"Burger King"
10.9290598 , 48.3754229 ,"Burger King"
12.1530897 , 49.6646912 ,"Burger King"
11.4679898 , 48.7482250 ,"Burger King"
10.7273298 , 50.8971989 ,"Burger King"
11.0739198 , 49.7168790 ,"Burger King"
11.7741998 , 50.4050390 ,"Burger King"
11.0031197 , 49.5758490 ,"Burger King"
11.0390698 , 49.3232890 ,"Burger King"
12.5423998 , 50.8407490 ,"Burger King"
11.4610097 , 48.1488790 ,"Burger King"
10.8654697 , 48.0635793 ,"Burger King"
11.4770198 , 48.1455584 ,"Burger King"
11.1155998 , 49.4033289 ,"Burger King"
10.9888398 , 49.4532890 ,"Burger King"
11.4701498 , 48.2607446 ,"Burger King"
11.9089598 , 50.3103497 ,"Burger King"
11.4589397 , 49.2593090 ,"Burger King"
11.0671797 , 48.3902282 ,"Burger King"
11.0571298 , 50.9739290 ,"Burger King"
11.8812798 , 49.4368990 ,"Burger King"
12.6631697 , 49.2020823 ,"Burger King"
11.5840298 , 48.5079213 ,"Burger King"
12.5015697 , 50.7084715 ,"Burger King"
11.4756298 , 49.3128390 ,"Burger King"
10.8542898 , 49.6982390 ,"Burger King"
12.6073897 , 48.8839861 ,"Burger King"
11.1309797 , 49.4325189 ,"Burger King"
12.9296297 , 50.8385490 ,"Burger King"
10.5015498 , 49.2584490 ,"Burger King"
12.1888397 , 48.9875690 ,"Burger King"
11.6654697 , 48.1208294 ,"Burger King"
13.7328797 , 51.0399089 ,"Burger King"
10.9793798 , 50.2864889 ,"Burger King"
11.2624197 , 49.1611390 ,"Burger King"
